event,a,b,c
100m,9.9274264508,-21.9933700028,0.0421329658
200m,2.2422237149,-45.4938200765,0.0245765276
300m,0.6999743364,-76.9959087143,-0.0139944400
400m,0.3350059758,-109.9942273774,0.0076554298
600m,0.1191983841,-183.9955892216,-0.0026515132
800m,0.0687998934,-249.9950232947,-0.0000169472
1000m,0.0381997085,-329.9958136040,-0.0021547584
1500m,0.0133999963,-539.9949703133,-0.0005396117
Mile,0.0116499986,-579.9949693123,0.0004597245
2000m,0.0067660105,-749.9948524357,0.0001847193
3000m,0.0025389975,-1199.9953765729,-0.0002368852
2 Miles,0.0021569983,-1296.2954038511,-0.0002368758
5000m,0.0008079992,-2099.9956378883,-0.0001983631
10000m,0.0001711705,-4500.3728183251,-0.1365493768
100mH,3.9822963262,-29.9904801411,0.1130387851
400mH,0.2085649572,-129.9952469068,-0.0011574468
2000m SC,0.0045000012,-879.9946744771,0.0008898666
3000m SC,0.0013229981,-1509.9954525199,-0.0000262420
4x100m,0.3895003606,-97.9948488911,0.0029041676
4x200m,0.0794985466,-211.9961734118,-0.0049477681
4x400m,0.0156200769,-479.9939979174,0.0031084665
10 Miles,0.0000630001,-7437.4758774148,0.0080292585
10 km,0.0001742155,-4499.3728557918,0.0189492422
15 km,0.0000732017,-6904.4306434582,0.0130446762
20 km,0.0000396007,-9356.4394963166,0.0048254690
25 km,0.0000228009,-12143.3511225215,0.0103960906
30 km,0.0000142603,-15122.3881022298,0.0055215143
100 km,0.0000008740,-61199.5508531756,-0.0005792629
HM,0.0000352993,-9899.5699844392,-0.0079093982
Marathon,0.0000059501,-22799.3431644815,0.0052008190
3km W,0.0008815855,-1870.3738882049,0.0003505436
5km W,0.0003247214,-3139.1595926748,0.0774715361
10km W,0.0000779012,-6436.4586699003,0.0060104500
20km W,0.0000186999,-13199.5111582929,0.0001676005
30km W,0.0000068999,-21544.6466392712,-0.0051495959
50km W,0.0000019600,-39951.5338662223,-0.0002048037
HJ,39.5579087445,10.5082093421,-4969.5880642855
LJ,1.9581140326,49.4597044183,-5024.0505434215
TJ,0.4296645887,105.1320544518,-4980.6423815636
DT,0.0040284238,2226.8877644471,-19996.2817097077
HT,0.0030967240,2539.8077202523,-19998.4991354651
JT,0.0040722745,2215.2996127575,-20003.7430818798
PV,3.9325797501,35.0265857026,-5029.8531935972
SP,0.0462143876,657.3172794694,-19993.5978247992
Heptathlon,0.0000015806,56004.0768596358,-5001.3485654597
